age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
39,3,2,3,2,yes,no,1,11,2,219,3,999,0,3,-0.1,93.2,-42,4.153,5195.8,no
45,2,2,1,3,yes,no,1,8,2,528,7,999,0,3,1.4,93.444,-36.1,4.963,5228.1,no
33,1,2,5,3,yes,yes,1,8,5,94,1,999,0,3,1.4,93.444,-36.1,4.963,5228.1,no
36,5,1,5,2,yes,no,1,11,1,200,2,4,1,1,-0.1,93.2,-42,4.191,5195.8,no
27,9,2,4,2,yes,no,2,5,3,54,1,999,0,3,-1.8,93.876,-40,0.672,5008.7,no
42,1,1,5,3,yes,yes,1,7,5,115,1,999,0,3,1.4,93.918,-42.7,4.957,5228.1,no
38,7,2,5,2,no,no,1,8,3,157,1,999,0,3,1.4,93.444,-36.1,4.965,5228.1,no
44,1,2,5,2,yes,no,2,6,3,25,1,999,0,3,1.4,94.465,-41.8,4.864,5228.1,no
23,9,1,4,2,no,no,1,5,4,361,2,999,0,3,-1.8,92.893,-46.2,1.27,5099.1,no
50,2,3,4,3,no,yes,2,5,1,200,2,999,0,3,1.1,93.994,-36.4,4.857,5191,no
54,6,2,4,3,yes,yes,2,7,4,193,1,999,0,3,1.4,93.918,-42.7,4.962,5228.1,no
38,6,3,6,2,no,no,2,6,4,128,2,999,0,3,1.4,94.465,-41.8,4.958,5228.1,no
31,3,2,3,2,yes,no,2,6,1,277,1,999,0,3,-2.9,92.963,-40.8,1.266,5076.2,no
44,1,2,4,3,no,no,1,8,5,93,8,999,0,3,1.4,93.444,-36.1,4.963,5228.1,no
26,1,1,4,2,yes,yes,1,7,3,668,1,999,0,3,1.4,93.918,-42.7,4.962,5228.1,no
35,1,2,5,2,yes,no,2,9,3,7,1,999,0,3,-1.1,94.199,-37.5,0.876,4963.6,no
31,3,3,4,2,yes,no,1,7,1,522,1,999,0,3,1.4,93.918,-42.7,4.96,5228.1,no
56,1,2,8,2,yes,no,1,8,1,476,2,999,0,3,1.4,93.444,-36.1,4.965,5228.1,no
57,6,2,6,2,yes,no,2,5,1,483,2,999,0,3,1.1,93.994,-36.4,4.858,5191,yes
46,8,2,1,2,no,no,2,5,3,336,1,999,0,3,1.1,93.994,-36.4,4.858,5191,no
49,1,2,3,3,no,yes,1,8,4,86,3,999,0,3,1.4,93.444,-36.1,4.968,5228.1,no
74,10,2,5,2,yes,yes,1,8,3,232,3,999,0,3,-2.9,92.201,-31.4,0.854,5076.2,yes
31,2,1,3,3,no,yes,2,7,4,70,3,999,0,3,1.4,93.918,-42.7,4.962,5228.1,no
38,6,1,6,3,yes,no,2,6,5,111,5,999,0,3,1.4,94.465,-41.8,4.967,5228.1,no
37,4,2,5,3,yes,no,1,11,1,1012,1,999,0,3,-0.1,93.2,-42,4.191,5195.8,no
56,1,2,3,2,no,yes,1,5,4,225,2,999,1,2,-1.8,92.893,-46.2,1.327,5099.1,no
35,4,1,5,2,no,no,1,7,1,120,3,999,0,3,1.4,93.918,-42.7,4.96,5228.1,no
46,1,2,4,3,no,no,1,8,5,49,3,999,0,3,1.4,93.444,-36.1,4.966,5228.1,no
30,2,2,3,2,no,no,2,6,4,348,3,999,0,3,1.4,94.465,-41.8,4.961,5228.1,no
54,7,1,3,2,yes,no,2,5,1,224,3,999,0,3,1.1,93.994,-36.4,4.857,5191,no
32,2,2,3,2,no,no,2,11,2,296,2,999,0,3,-0.1,93.2,-42,4.153,5195.8,no
34,5,1,5,2,no,no,1,5,3,340,2,999,1,2,-1.8,92.893,-46.2,1.281,5099.1,no
35,1,2,5,2,yes,no,1,10,4,86,1,999,1,2,-3.4,92.431,-26.9,0.74,5017.5,no
38,2,2,1,3,no,no,2,6,3,95,2,999,0,3,1.4,94.465,-41.8,4.959,5228.1,no
42,6,3,4,2,yes,no,1,5,3,228,2,999,1,2,-1.8,92.893,-46.2,1.281,5099.1,no
49,7,3,2,2,no,no,2,11,4,88,6,999,0,3,-0.1,93.2,-42,4.076,5195.8,no
27,9,1,4,2,no,yes,1,7,3,537,2,999,1,2,-2.9,92.469,-33.6,1.029,5076.2,no
52,3,2,4,2,no,yes,1,5,5,38,2,999,0,3,-1.8,92.893,-46.2,1.313,5099.1,no
54,10,2,5,3,no,no,2,6,1,26,3,999,0,3,1.4,94.465,-41.8,4.961,5228.1,no
59,6,2,6,2,no,no,1,7,4,464,1,999,0,3,1.4,93.918,-42.7,4.962,5228.1,no
48,2,2,3,3,no,no,1,5,4,506,1,999,0,3,-1.8,92.893,-46.2,1.266,5099.1,no
47,6,2,6,2,no,no,1,7,1,66,2,999,0,3,1.4,93.918,-42.7,4.96,5228.1,no
27,3,2,5,2,no,no,1,5,2,223,1,999,0,3,-1.8,92.893,-46.2,1.266,5099.1,no
41,2,2,2,2,yes,yes,1,4,2,608,2,999,0,3,-1.8,93.075,-47.1,1.423,5099.1,no
36,3,2,4,2,no,yes,2,5,2,1590,2,999,0,3,1.1,93.994,-36.4,4.857,5191,no
40,1,1,5,2,yes,yes,2,5,1,190,2,999,0,3,1.1,93.994,-36.4,4.857,5191,no
57,5,2,1,2,yes,no,2,4,1,534,3,999,1,2,-1.8,93.075,-47.1,1.405,5099.1,no
31,11,3,5,2,yes,yes,1,7,3,104,7,999,0,3,1.4,93.918,-42.7,4.963,5228.1,no
65,8,2,1,2,no,no,1,6,1,145,2,999,0,3,-2.9,92.963,-40.8,1.266,5076.2,no
60,6,2,5,2,yes,no,1,8,2,11,8,999,0,3,1.4,93.444,-36.1,4.965,5228.1,no
53,3,2,4,3,yes,no,2,6,1,381,2,999,0,3,1.4,94.465,-41.8,4.865,5228.1,no
81,10,2,1,2,yes,no,1,10,3,621,1,999,2,2,-1.1,94.601,-49.5,1.016,4963.6,yes
81,10,2,1,2,yes,no,1,8,1,90,4,999,0,3,-1.7,94.027,-38.3,0.898,4991.6,no
47,2,3,3,3,yes,no,2,5,3,30,2,999,0,3,1.1,93.994,-36.4,4.857,5191,no
60,1,2,5,2,yes,no,1,5,1,1602,2,999,0,3,-1.8,92.893,-46.2,1.354,5099.1,yes
55,7,3,5,3,no,no,1,11,5,89,2,999,0,3,-0.1,93.2,-42,4.021,5195.8,no
70,10,2,1,3,no,no,1,10,4,122,1,14,3,2,-1.1,94.601,-49.5,0.965,4963.6,no
32,2,2,6,2,yes,no,1,5,5,757,1,999,1,2,-1.8,92.893,-46.2,1.25,5099.1,no
31,1,2,5,2,yes,no,2,5,4,359,2,999,0,3,1.1,93.994,-36.4,4.86,5191,no
46,1,2,5,2,no,no,1,11,4,358,1,999,1,2,-0.1,93.2,-42,4.076,5195.8,no
36,3,2,4,2,yes,no,2,6,5,241,2,999,0,3,1.4,94.465,-41.8,4.959,5228.1,no
68,10,2,1,3,yes,no,1,6,1,383,3,999,0,3,-1.7,94.055,-39.8,0.754,4991.6,no
31,6,1,4,2,yes,no,1,11,3,77,4,999,0,3,-0.1,93.2,-42,4.12,5195.8,no
52,2,2,3,3,yes,no,2,5,5,346,3,999,0,3,1.1,93.994,-36.4,4.855,5191,no
58,1,3,5,2,yes,no,1,11,1,70,1,999,0,3,-0.1,93.2,-42,4.191,5195.8,no
54,2,2,1,3,yes,yes,2,5,1,351,1,999,0,3,1.1,93.994,-36.4,4.858,5191,no
40,8,1,5,2,no,no,2,6,1,126,3,999,0,3,1.4,94.465,-41.8,4.961,5228.1,no
44,1,2,5,2,yes,no,2,5,4,413,2,999,0,3,1.1,93.994,-36.4,4.86,5191,no
42,6,1,5,2,yes,no,1,8,2,578,2,999,0,3,1.4,93.444,-36.1,4.966,5228.1,no
30,11,1,4,2,no,no,1,5,5,13,11,999,0,3,-1.8,92.893,-46.2,1.25,5099.1,no
42,6,1,3,2,yes,no,2,5,3,99,2,999,0,3,1.1,93.994,-36.4,4.857,5191,no
54,6,2,6,2,yes,yes,2,5,1,196,2,999,0,3,1.1,93.994,-36.4,4.857,5191,no
29,1,2,5,2,yes,no,2,5,4,302,1,999,0,3,1.1,93.994,-36.4,4.86,5191,no
47,7,2,5,2,yes,no,1,9,1,323,1,3,2,1,-3.4,92.379,-29.8,0.771,5017.5,yes
25,1,1,5,2,yes,yes,1,10,5,115,1,999,1,2,-3.4,92.431,-26.9,0.739,5017.5,yes
43,2,2,1,3,yes,yes,2,5,2,593,2,999,0,3,1.1,93.994,-36.4,4.857,5191,no
38,7,2,4,3,no,no,2,5,4,879,2,999,0,3,1.1,93.994,-36.4,4.86,5191,no
30,2,1,4,2,no,no,2,7,3,71,1,999,0,3,1.4,93.918,-42.7,4.956,5228.1,no
56,10,2,1,3,no,no,1,7,2,580,3,999,0,3,1.4,93.918,-42.7,4.961,5228.1,no
62,2,2,1,2,yes,no,1,11,1,152,1,6,1,1,-3.4,92.649,-30.1,0.719,5017.5,no
36,1,1,5,2,no,yes,1,8,5,69,2,999,0,3,1.4,93.444,-36.1,4.963,5228.1,no
33,3,2,4,2,no,no,2,5,1,146,2,999,0,3,1.1,93.994,-36.4,4.857,5191,no
41,2,3,3,2,no,no,1,8,2,102,1,999,0,3,1.4,93.444,-36.1,4.963,5228.1,no
34,8,1,5,2,yes,no,1,8,4,159,3,999,0,3,1.4,93.444,-36.1,4.963,5228.1,no
58,1,3,4,2,no,no,1,8,2,290,1,999,0,3,1.4,93.444,-36.1,4.963,5228.1,no
41,1,3,4,2,no,no,1,4,5,620,1,999,0,3,-1.8,93.075,-47.1,1.405,5099.1,no
35,4,1,5,2,yes,no,1,7,1,88,5,999,0,3,1.4,93.918,-42.7,4.96,5228.1,no
31,2,1,3,3,no,yes,2,6,5,70,2,999,0,3,1.4,94.465,-41.8,4.959,5228.1,no
43,3,2,4,2,no,no,2,5,1,77,1,999,0,3,1.1,93.994,-36.4,4.857,5191,no
42,6,3,6,2,yes,no,1,8,1,408,1,999,0,3,1.4,93.444,-36.1,4.97,5228.1,no
47,8,2,1,3,yes,no,2,7,2,159,2,999,0,3,1.4,93.918,-42.7,4.961,5228.1,no
45,4,3,3,2,yes,no,1,5,2,29,3,999,0,3,-1.8,92.893,-46.2,1.344,5099.1,no
36,1,2,5,3,yes,no,1,8,3,155,11,999,0,3,1.4,93.444,-36.1,4.964,5228.1,no
32,1,2,5,2,yes,no,2,5,4,151,5,999,0,3,-1.8,92.893,-46.2,1.266,5099.1,no
63,10,2,4,2,no,no,1,10,3,1386,1,999,0,3,-3.4,92.431,-26.9,0.74,5017.5,no
30,6,2,5,2,no,yes,1,6,5,131,1,999,1,2,-1.7,94.055,-39.8,0.748,4991.6,no
31,6,1,6,2,yes,no,1,11,4,155,1,999,0,3,-0.1,93.2,-42,4.076,5195.8,no
31,1,1,5,2,yes,no,1,11,4,463,1,999,0,3,-0.1,93.2,-42,4.076,5195.8,no
30,1,2,2,2,yes,yes,1,7,4,53,1,999,0,3,1.4,93.918,-42.7,4.958,5228.1,no
39,1,2,4,2,yes,no,2,7,5,219,1,999,0,3,1.4,93.918,-42.7,4.959,5228.1,no
27,9,1,4,2,no,no,1,5,1,64,2,999,1,2,-1.8,92.893,-46.2,1.354,5099.1,no
58,1,2,4,2,no,no,1,8,5,528,1,999,0,3,1.4,93.444,-36.1,4.966,5228.1,no
34,7,1,4,2,yes,no,1,11,3,175,1,999,0,3,-0.1,93.2,-42,4.12,5195.8,no
